"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5603","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","1.658750","0","2"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","63","1","233.128906","0","63"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","12","1","40.162666","0","12"
"/Game/Dresses/Black_Red/Red.Red","0","21","21","1","83.697624","0","21"
"/Game/Assets/SellfCheckOut/StaticMeshes/White.White","0","21","21","1","24.562273","0","21"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","29","29","1","85.249237","0","29"
"/Game/Assets/PlaticDisplayDressInfo/Material.Material","0","21","21","1","79.214142","0","21"
"/Game/Assets/Shops/VintageShop/StaticMeshes/M_Blackrick.M_Blackrick","0","21","21","1","73.283310","0","21"
"/Game/Assets/Shops/RentADress/StaticMeshes/M_Blackrick.M_Blackrick","0","12","12","1","0.000000","0","12"
"/Game/Dresses/Burgendy_Leather_Dress/FABRIC_2_FRONT_100522.FABRIC_2_FRONT_100522","0","33","33","1","119.928780","0","33"
"/Game/Dresses/BlackBackless/SilkBrown.SilkBrown","0","33","33","1","109.233612","0","33"
"/Game/Assets/SellfCheckOut/StaticMeshes/White_Plastic.White_Plastic","0","12","12","1","43.586155","0","12"
"/Game/Assets/SellfCheckOut/StaticMeshes/Black_plastic.Black_plastic","0","21","21","1","72.983841","0","21"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","2.050180","0","2"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","2.275007","0","5"
"/OpenXR/Devices/M_XRController.M_XRController","0","36","36","3","140.477646","0","36"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","32.200268","0","50"
